Day,bitcoin
2016-02-01,60.0
2016-02-02,57.5
2016-02-03,59.708333333333336
2016-02-04,61.44
2016-02-05,63.375
2016-02-06,63.208333333333336
2016-02-07,63.416666666666664
2016-02-08,62.791666666666664
2016-02-09,64.41666666666667
2016-02-10,67.375
2016-02-11,60.16
2016-02-12,55.75
2016-02-13,51.291666666666664
2016-02-14,54.0
2016-02-15,58.625
2016-02-16,59.583333333333336
2016-02-17,59.958333333333336
2016-02-18,72.44
2016-02-19,68.5
2016-02-20,62.416666666666664
2016-02-21,64.16666666666667
2016-02-22,62.583333333333336
2016-02-23,63.583333333333336
2016-02-24,65.45833333333333
2016-02-25,56.88
2016-02-26,59.083333333333336
2016-02-27,65.04166666666667
2016-02-28,54.458333333333336
2016-02-29,58.458333333333336
2016-03-01,60.416666666666664
2016-03-02,60.083333333333336
2016-03-03,52.76
2016-03-04,49.958333333333336
2016-03-05,59.416666666666664
2016-03-06,47.75
2016-03-07,49.5
2016-03-08,50.708333333333336
2016-03-09,53.5
2016-03-10,53.08
2016-03-11,56.791666666666664
2016-03-12,56.333333333333336
2016-03-13,51.5
2016-03-14,60.041666666666664
2016-03-15,59.083333333333336
2016-03-16,55.25
2016-03-17,62.96
2016-03-18,59.791666666666664
2016-03-19,58.958333333333336
2016-03-20,64.08333333333333
2016-03-21,64.83333333333333
2016-03-22,62.291666666666664
2016-03-23,60.291666666666664
2016-03-24,58.6
2016-03-25,52.291666666666664
2016-03-26,52.916666666666664
2016-03-27,56.208333333333336
2016-03-28,56.375
2016-03-29,57.833333333333336
2016-03-30,61.416666666666664
2016-03-31,60.76
2016-04-01,57.541666666666664
2016-04-02,57.583333333333336
2016-04-03,51.458333333333336
2016-04-04,54.666666666666664
2016-04-05,56.0
2016-04-06,61.041666666666664
2016-04-07,55.84
2016-04-08,57.041666666666664
2016-04-09,50.25
2016-04-10,57.625
2016-04-11,56.583333333333336
2016-04-12,58.75
2016-04-13,60.541666666666664
2016-04-14,51.4
2016-04-15,46.875
2016-04-16,46.0
2016-04-17,50.083333333333336
2016-04-18,49.0
2016-04-19,53.416666666666664
2016-04-20,54.458333333333336
2016-04-21,44.92
2016-04-22,47.916666666666664
2016-04-23,38.916666666666664
2016-04-24,44.958333333333336
2016-04-25,45.416666666666664
2016-04-26,44.75
2016-04-27,44.458333333333336
2016-04-28,25.56
2016-04-29,20.458333333333332
2016-04-30,19.708333333333332
2016-05-01,18.166666666666668
2016-05-02,57.333333333333336
2016-05-03,39.75
2016-05-04,25.791666666666668
2016-05-05,62.36
2016-05-06,59.458333333333336
2016-05-07,60.041666666666664
2016-05-08,54.583333333333336
2016-05-09,56.625
2016-05-10,55.125
2016-05-11,54.833333333333336
2016-05-12,53.12
2016-05-13,53.125
2016-05-14,46.166666666666664
2016-05-15,45.25
2016-05-16,45.416666666666664
2016-05-17,55.791666666666664
2016-05-18,49.208333333333336
2016-05-19,64.48
2016-05-20,64.0
2016-05-21,55.166666666666664
2016-05-22,56.791666666666664
2016-05-23,60.5
2016-05-24,57.916666666666664
2016-05-25,61.833333333333336
2016-05-26,42.04
2016-05-27,51.916666666666664
2016-05-28,58.583333333333336
2016-05-29,65.66666666666667
2016-05-30,67.04166666666667
2016-05-31,63.0
2016-06-01,59.916666666666664
2016-06-02,58.64
2016-06-03,62.625
2016-06-04,62.375
2016-06-05,63.541666666666664
2016-06-06,65.0
2016-06-07,62.458333333333336
2016-06-08,60.125
2016-06-09,42.8
2016-06-10,37.5
2016-06-11,41.958333333333336
2016-06-12,58.958333333333336
2016-06-13,69.54166666666667
2016-06-14,58.791666666666664
2016-06-15,54.166666666666664
2016-06-16,69.32
2016-06-17,70.91666666666667
2016-06-18,57.291666666666664
2016-06-19,49.208333333333336
2016-06-20,54.458333333333336
2016-06-21,63.916666666666664
2016-06-22,54.791666666666664
2016-06-23,51.0
2016-06-24,67.0
2016-06-25,49.875
2016-06-26,43.0
2016-06-27,42.5
2016-06-28,41.166666666666664
2016-06-29,39.625
2016-06-30,71.96
2016-07-01,77.41666666666667
2016-07-02,65.91666666666667
2016-07-03,69.75
2016-07-04,68.95833333333333
2016-07-05,68.29166666666667
2016-07-06,67.16666666666667
2016-07-07,54.08
2016-07-08,49.166666666666664
2016-07-09,64.875
2016-07-10,51.541666666666664
2016-07-11,48.291666666666664
2016-07-12,48.541666666666664
2016-07-13,42.666666666666664
2016-07-14,50.52
2016-07-15,48.833333333333336
2016-07-16,45.583333333333336
2016-07-17,47.25
2016-07-18,45.75
2016-07-19,46.875
2016-07-20,47.958333333333336
2016-07-21,48.2
2016-07-22,40.708333333333336
2016-07-23,37.458333333333336
2016-07-24,43.541666666666664
2016-07-25,42.041666666666664
2016-07-26,44.333333333333336
2016-07-27,49.208333333333336
2016-07-28,31.08
2016-07-29,28.708333333333332
2016-07-30,30.291666666666668
2016-07-31,30.833333333333332
2016-08-01,34.5
2016-08-02,42.166666666666664
2016-08-03,68.20833333333333
2016-08-04,69.4
2016-08-05,49.5
2016-08-06,51.083333333333336
2016-08-07,50.958333333333336
2016-08-08,54.916666666666664
2016-08-09,48.5
2016-08-10,44.333333333333336
2016-08-11,58.0
2016-08-12,56.291666666666664
2016-08-13,57.416666666666664
2016-08-14,57.166666666666664
2016-08-15,60.083333333333336
2016-08-16,59.75
2016-08-17,58.125
2016-08-18,54.24
2016-08-19,53.0
2016-08-20,46.375
2016-08-21,51.5
2016-08-22,52.708333333333336
2016-08-23,55.208333333333336
2016-08-24,53.0
2016-08-25,57.76
2016-08-26,57.25
2016-08-27,52.416666666666664
2016-08-28,51.916666666666664
2016-08-29,52.791666666666664
2016-08-30,57.375
2016-08-31,56.75
2016-09-01,67.6
2016-09-02,62.458333333333336
2016-09-03,65.54166666666667
2016-09-04,71.41666666666667
2016-09-05,70.70833333333333
2016-09-06,67.875
2016-09-07,70.5
2016-09-08,57.36
2016-09-09,52.541666666666664
2016-09-10,52.833333333333336
2016-09-11,49.75
2016-09-12,55.833333333333336
2016-09-13,53.0
2016-09-14,52.625
2016-09-15,58.0
2016-09-16,51.458333333333336
2016-09-17,48.625
2016-09-18,48.291666666666664
2016-09-19,50.5
2016-09-20,51.666666666666664
2016-09-21,57.041666666666664
2016-09-22,58.0
2016-09-23,56.541666666666664
2016-09-24,56.875
2016-09-25,48.708333333333336
2016-09-26,53.541666666666664
2016-09-27,52.583333333333336
2016-09-28,49.125
2016-09-29,52.44
2016-09-30,51.958333333333336
2016-10-01,54.333333333333336
2016-10-02,52.875
2016-10-03,50.416666666666664
2016-10-04,55.458333333333336
2016-10-05,51.75
2016-10-06,60.84
2016-10-07,62.083333333333336
2016-10-08,55.458333333333336
2016-10-09,58.083333333333336
2016-10-10,57.041666666666664
2016-10-11,72.25
2016-10-12,68.25
